Itemset	day	sentiment
( 419, 642, 899)	6	0
( 419, 952, 441)	0	56
( 419, 952, 441)	1	-36
( 419, 952, 441)	2	0
( 419, 952, 441)	3	-49
( 419, 952, 441)	4	0
( 419, 952, 441)	5	51
( 419, 952, 441)	6	0
( 419, 952, 899)	0	46
( 419, 952, 899)	1	-42
( 419, 952, 899)	2	0
( 419, 952, 899)	3	-47
( 419, 952, 899)	4	0
( 419, 952, 899)	5	40
( 419, 952, 899)	6	0
( 419, 441, 899)	0	55
( 419, 441, 899)	1	-26
( 419, 441, 899)	2	0
( 419, 441, 899)	3	-40
( 419, 441, 899)	4	0
( 419, 441, 899)	5	48
( 419, 441, 899)	6	0
( 642, 952, 441)	0	59
( 642, 952, 441)	1	-39
( 642, 952, 441)	2	0
( 642, 952, 441)	3	-47
( 642, 952, 441)	4	0
( 642, 952, 441)	5	46
( 642, 952, 441)	6	0
( 642, 952, 899)	0	49
( 642, 952, 899)	1	-45
( 642, 952, 899)	2	0
( 642, 952, 899)	3	-45
( 642, 952, 899)	4	0
( 642, 952, 899)	5	35
( 642, 952, 899)	6	0
( 642, 441, 899)	0	58
( 642, 441, 899)	1	-29
( 642, 441, 899)	2	0
( 642, 441, 899)	3	-38
( 642, 441, 899)	4	0
( 642, 441, 899)	5	43
( 642, 441, 899)	6	0
( 952, 441, 899)	0	62
( 952, 441, 899)	1	-31
( 952, 441, 899)	2	0
( 952, 441, 899)	3	-41
( 952, 441, 899)	4	0
( 952, 441, 899)	5	41
( 952, 441, 899)	6	0
( 949, 755, 828)	0	0
( 949, 755, 828)	1	0
( 949, 755, 828)	2	-32
( 949, 755, 828)	3	-73
( 949, 755, 828)	4	0
( 949, 755, 828)	5	14
( 949, 755, 828)	6	0
( 949, 755, 731)	0	0
( 949, 755, 731)	1	0
( 949, 755, 731)	2	-45
( 949, 755, 731)	3	-64
( 949, 755, 731)	4	0
( 949, 755, 731)	5	19
( 949, 755, 731)	6	0
( 949, 828, 731)	0	0
( 949, 828, 731)	1	0
( 949, 828, 731)	2	-43
( 949, 828, 731)	3	-75
( 949, 828, 731)	4	0
( 949, 828, 731)	5	17
( 949, 828, 731)	6	0
( 755, 828, 731)	0	0
( 755, 828, 731)	1	0
( 755, 828, 731)	2	-42
( 755, 828, 731)	3	-73
( 755, 828, 731)	4	0
( 755, 828, 731)	5	22
( 755, 828, 731)	6	0
( 857, 507, 65)	0	49
( 857, 507, 65)	1	-42
( 857, 507, 65)	2	0
( 857, 507, 65)	3	0
( 857, 507, 65)	4	20
( 857, 507, 65)	5	0
( 857, 507, 65)	6	0
( 458, 260, 883)	0	0
( 458, 260, 883)	1	-87
( 458, 260, 883)	2	0
( 458, 260, 883)	3	0
( 458, 260, 883)	4	0
( 458, 260, 883)	5	27
( 458, 260, 883)	6	35
( 458, 260, 32)	0	0
( 458, 260, 32)	1	-76
( 458, 260, 32)	2	0
( 458, 260, 32)	3	0
( 458, 260, 32)	4	0
( 458, 260, 32)	5	25
( 458, 260, 32)	6	45
( 458, 883, 32)	0	0
( 458, 883, 32)	1	-80
( 458, 883, 32)	2	0
( 458, 883, 32)	3	0
( 458, 883, 32)	4	0
( 458, 883, 32)	5	23
( 458, 883, 32)	6	48
( 260, 883, 32)	0	0
( 260, 883, 32)	1	-87
( 260, 883, 32)	2	0
( 260, 883, 32)	3	0
( 260, 883, 32)	4	0
( 260, 883, 32)	5	27
( 260, 883, 32)	6	49
( 64, 906, 979)	0	0
( 64, 906, 979)	1	0
( 64, 906, 979)	2	-40
( 64, 906, 979)	3	-50
( 64, 906, 979)	4	22
( 64, 906, 979)	5	0
( 64, 906, 979)	6	0
( 64, 906, 254)	0	0
( 64, 906, 254)	1	0
( 64, 906, 254)	2	-42
( 64, 906, 254)	3	-36
( 64, 906, 254)	4	27
( 64, 906, 254)	5	0
( 64, 906, 254)	6	0
( 64, 979, 254)	0	0
( 64, 979, 254)	1	0
( 64, 979, 254)	2	-39
( 64, 979, 254)	3	-45
( 64, 979, 254)	4	39
( 64, 979, 254)	5	0
( 64, 979, 254)	6	0
( 906, 979, 254)	0	0
( 906, 979, 254)	1	0
( 906, 979, 254)	2	-50
( 906, 979, 254)	3	-52
( 906, 979, 254)	4	23
( 906, 979, 254)	5	0
( 906, 979, 254)	6	0
( 819, 343, 318)	0	0
( 819, 343, 318)	1	-36
( 819, 343, 318)	2	0
( 819, 343, 318)	3	0
( 819, 343, 318)	4	0
( 819, 343, 318)	5	25
( 819, 343, 318)	6	0
( 91, 238, 535)	0	0
( 91, 238, 535)	1	-86
